AIRPORT,STATION NAME,LAT,LON
AVL,ASHEVILLE REGIONAL AIRPORT,35.432,-82.538
COS,CITY OF COLORADO SPRINGS MUNICIPAL AP,38.809,-104.689
PWM,PORTLAND INTERNATIONAL JETPORT AP,43.642,-70.304
HSV,HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,34.644,-86.786
HPN,WESTCHESTER COUNTY AIRPORT,41.062,-73.705
FAT,FRESNO YOSEMITE INTERNATIONAL AIRPORT,36.78,-119.72
ICT,WICHITA EISENHOWER NATIONAL,37.648,-97.43
BZN,GALLATIN FIELD AIRPORT,45.788,-111.162
MAF,MIDLAND INTERNATIONAL AIRPORT,31.948,-102.209
SGF,SPRINGFIELD-BRANSON REGIONAL AIRPORT,37.24,-93.39
CAE,COLUMBIA METROPOLITAN AIRPORT,33.942,-81.118
LEX,BLUE GRASS AIRPORT,38.034,-84.611
DAY,J.M.COX DAYTON INTERNATIONAL AIRPORT,39.906,-84.219
VPS,EGLIN AFB AIRPORT,30.483,-86.517
SFB,ORLANDO SANFORD AIRPORT,28.78,-81.244
ILM,WILMINGTON NEW HANOVER COUNTY,34.268,-77.9
ECP,NORTHWEST FLORIDA BEACHES INTL ARPT,30.349,-85.788
MDT,HARRISBURG INTERNATIONAL AIRPORT,40.196,-76.772
BTV,BURLINGTON INTERNATIONAL AIRPORT,44.468,-73.15
JAN,JACKSON INTERNATIONAL AIRPORT,32.32,-90.078
CID,EASTERN IOWA REGIONAL AIRPORT,41.883,-91.725
EUG,MAHLON SWEET FIELD AIRPORT,44.133,-123.216
CHA,LOVELL FIELD AIRPORT,35.034,-85.2
PIE,ST PETE-CLWTR INTL AIRPORT,27.913,-82.686
FSD,JOE FOSS FIELD AIRPORT,43.578,-96.754
EYW,KEY WEST INTERNATIONAL AIRPORT,24.557,-81.755
SBA,SANTA BARBARA MUNICIPAL AIRPORT,34.424,-119.842
ASE,ASPEN-PITKIN COUNTY ARPT,39.23,-106.871
RDM,ROBERTS FLD,44.256,-121.139
ATW,OUTAGAMIE CO RGNL AIRPORT,44.267,-88.517
